Item #	Item Description	R Value	Donar	Advertisement
30	$25 Travel Coupon	$25.00	Mid American Coaches	"In Operation for Over 80 Years, Mid-American Coaches is Known as the Permier Motor Caoch Company in Missouri and Illinois."
31	Any pair of designer non-prescription sunglasses valued up to $150 value	$150.00	Birkmann & Sumner Optometrists	For your vision needs call 636-239-2179 for an appointment
32	$25 Travel Coupon	$25.00	Mid American Coaches	"In Operation for Over 80 Years, Mid-American Coaches is Known as the Permier Motor Caoch Company in Missouri and Illinois."
33	Lunch for 2 at Basket Case	$25.00	EDWARD JONES	Which college savings plan is right for you?   See Debbi Skornia with Edward Jones in Krakow.  Edward Jones…making sense of investing.  Member SIPC.
34	$25 Travel Coupon	$25.00	Mid American Coaches	"In Operation for Over 80 Years, Mid-American Coaches is Known as the Permier Motor Caoch Company in Missouri and Illinois."
35	$50 US saving bond	$25.00	U.S. Bank	Visit any one of the 3 Washington locations for all of your financial needs.
36	One Month of Unlimited Infrared Sauna	$65.00	"Moments of Serenity, Inc."	Moments of Serenity - An Oasis for the Soul
37	Dinner for 2 at Chico's	$25.00	EDWARD JONES	How much will you need to retire?  Lets talk.   See Debbi Skornia with Edward Jones in Krakow.  Edward Jones…making sense of investing.  Member SIPC.
38	Photography Services	$900.00	Curt Dennison Photography	"Photography for advertising, catalogs, brochures, direct mail and display"
40	Spa Party for 6 - for the Month of June	$480.00	"BACKS, BODIES & MORE, LLC"	"Spa Party for 6 - Includes 30 minute massage, sea salt treatment for hand and arms, parafin wax, and toe pebbling."
41	Williams Brothers Hickory Smoked Slab Bacon	$40.00	EDWARD JONES	"If  you're not at your last job, should your 401K be?  See Debbi Skornia with Edward Jones in Krakow.  Edward Jones…making sense of investing.  Member SIPC."
42	Gift Certificate for $100	$100.00	Washington Square Dental	"Use toward any dental service such as Invisalign, Zoom Whitening, or a new crown"
43	$50.00 Williams Brothers Gift Certificate	$50.00	EDWARD JONES	"If you've never thought to call Edward Jones when your CDs mature, think again.  See Debbi Skornia with Edward Jones in Krakow.  Edward Jones…making  sense of investing.  Member SIPC."
44	$50 US saving bond	$25.00	U.S. Bank	Visit any one of the 3 Washington locations for all of your financial needs.
45	Tommy Hilfiger UV Protected Sunwear	$86.00	"Obermark Optometry, Inc."	"Obermark Optometry - Stop by their 222 West Main Street location in downtown Washington to pick up your UV Protected Tommy Hilfiger Sunwear.  The Sunwear has a metal, semi-rimless frame, and the lenses are grey with a slightly mirrored finish."
46	Williams Brothers famous 4 oz filet Mignon	$50.00	Eckelkamp Electric	"Now in our fourth generation of serving the area's business and industrial needs, with over 50 years of experience to offer our customers."
47	$50 US Saving Bond	$25.00	U.S. Bank	Visit any one of the 3 Washington locations for all of your financial needs.
48	Dinner for 2 at Creamery Hill	$50.00	"Choice Home Care Products, Inc."	
49	$50 US Saving Bond	$25.00	U.S. Bank	Visit any one of the 3 Washington locations for all of your financial needs.
50	Williams Brothers BBQ Package	$80.00	Fischer Chiropratic Center	
51	Multi Speed All Terrain Bike from Scenic Cycles	$150.00	Nieberg Vitt Funeral Home	Serving the Washington Area from Historic Downtown Washington.  Pick up bike at Scenic Cycles.
52	Dinner for 4 at Creamery Hill	$100.00	Boland Fence	
53	$50.00 Williams Brothers Gift Certificate	$50.00	Coldwell Banker Premier	Coldwell Banker Premier Group is taking Real Estate to a higher level.  Call our top producing agents at 239-0667 today!
54	River Dinner Cruise for 4	$500.00	Lochirco Produce /Happy Apple	River cruise to dinner at Hermann or St. Charles.  Mutually agreed upon date.
55	Lunch for 4 at Basket Case	$50.00	A.G. Edwards & Sons Inc. - Andy Beckermann	
56	5 Rides within city limits of Washington	$45.00	"Millenium Taxi, Inc."	"24/7 Local and long distance transportation, whatever your transportation needs, let us be your desgnated driver."
57	Gift Certificate	$30.00	Inscriptions Engraved Gifts	A full-service engraving shop located with Shw-Me Trophies & Awards in downtown Washington.
58	Droege's Six (6) US choice 12oz Ribeye steaks	$100.00	A.G. Edwards & Sons Inc. - Don Means	
59	Lunch for 4 at Basket Case	$50.00	Dr. H. Groves Cooke	
60	7 Lesson series by the PGA Pro at Wolf Hollow	$280.00	G.H. Tool and Mold	G&H Tool a first class company providing great jobs and community leadership to the Washington Area.
61	Gift Certificate	$30.00	Inscriptions Engraved Gifts	A full-service engraving shop located with Shw-Me Trophies & Awards in downtown Washington.
62	Gift Certificate	$30.00	Inscriptions Engraved Gifts	A full-service engraving shop located with Shw-Me Trophies & Awards in downtown Washington.
63	Droege's BBQ Package	$40.00	"Sturm's Towing, LLC"	
64	Fgift Certificate	$30.00	Inscriptions Engraved Gifts	A full-service engraving shop located with Shw-Me Trophies & Awards in downtown Washington.
65	Personalized Coaster Set	$25.00	Classic Awards LLC	Visit Classic Awards at 1190 West 5th Street for your awards & trophies.
66	"Shrimp Boil for  Eight  on the Missouri River  food and drinks included, mutually agreed upon date"	$800.00	"John Lochirco, Jeff Hasting, Jim Dierking"	"A great day on the Missouri River.  Boat ride, shrimp, corn on the cob, polish sausage, potatoes & lots of beverages.  Hosted by John & Missy Lochirco, Jeff & Jennifer Hastings and Jim & Karen Dierking."
67	Gift Certificate to the Art Center	$25.00	The Art Center	Visit the Art Center for framing and art gallery.
68	"4 Season Passes to the Washington Town & Country Fair (2 Adults, 2 Children)"	$114.00	Washington Area Chamber of Commerce	
69	4 Monday-Friday 18 hole green fee w/cart at Wolf Hollow	$65.00	Canam Steel	
70	Lunch for 2 at Basket Case	$25.00	ASAP Appraisals	
71	Get KidSafe Internet Monitoring Software	$99.00	GetKidSafe.com	77% of children are approached by online predators.  No longer worry about your children being online.  Visit GetKidSafe.com or call 239-1718  GetKidSafe.com
72	Lunch for 2 at Basket Case	$25.00	ASAP Appraisals	
73	Droege's Dinner for Eight	$40.00	Heritage Realty - Roberta Brajdich	Serving the people of Franklin County for over 20 years.
74	Gift Certifiate	$30.00	Shop Around The Corner	"Put a smile on your face at Shop Around the Corner across from Sears.  Find great prices on new and resale furniture, antiques, clothing, home décor, and more.  The fun place to shop Washington's gathering place - The Shop Around the Corner."
75	$60 Gift Certificate	$60.00	YHTI	YHTI Internet
76	Williams Brothers Natural Hickory Smoked Bone-In Ham	$60.00	Little Rascals Preschool	Now enrolling for summer & fall 2007.  Call 239-5629
77	"""Coffee"" Plaque"	$26.00	"HOME CREATIONS FURNITURE, LLC"	"Come to Home Creations for mattresses, fine furniture and accessories for your home.  The largest in-store Lazy Boy gallery in Missouri, Home Creations on Lewis & Clark Drive - behind Fritz's"
78	iPod Shuffle	$78.72	Wal Mart Super Center	"Wear the smallest digital music player in the world.  New 1 GB, 240 song iPod shuffle, weighs .55 ounce.  Wal-Mart Supercenter open 24 hours.  Everyday low prices always.  Visit our new store for more items to shop and wider aisles."
79	$60 Gift Certificate	$60.00	YHTI	YHTI Intenet
80	$30 Gift Card	$30.00	Cowan's Restaurant	"""The Place To Meet"""
81	Annual Vaccinations for a dog	$51.00	Animal Care Clinic	Includes rabies and distemper vaccines and a heartworm test Dr. James Hale's office at 1750 East Fifth Street
82	"3 months free internet service, 3 megabytes."	$190.80	Charter Communications	"Charter communications, for the fastest internet services, call Charter, the best entertainment value around.  And now telephone service available at Charter"
83	Radio Control Car	$25.95	Carquest	"CarQuest @ 880 Washington Corners.  Mon-Fri 7:30 - 6pm, Sat 8-4.  ""Proudly serving a world in motion"""
84	Yearly Examination and vaccines for a cat	$65.00	Animal Hospital of Washington	"Includes examination, rabies and distemper vaccines and a worm test at the Animal Hospital Dr. Dan Smith"
85	2 Monday-Friday 18 hole green fee w/cart at Wolf Hollow	$50.00	Sieve Contractors Inc.	For any of your re-engineered and commercial/industrial construction - Sieve Contractors since 1978.
86	500 Business Magnets	$160.00	Magnet LLC	Customize a magnet for your business.  Call Magnet Incorporated.
87	Yearly examination & vaccines for a dog	$89.00	Animal Hospital of Washington	Includes rabies and distemper vaccines and a heartworm test and a worm check at the Animal Hospital Dr Dan Smith
88	"16 x 20 Oil Painting ""Lilacs"" bought at Washington Winefest"	$50.00	re/MAX First - Matt McClelland	Call Matt for all your Real Estate Needs at 636-239-4742
89	2 Monday-Friday 18 hole green fee w/cart at Wolf Hollow	$50.00	Sieve Contractors Inc.	For any of your re-engineered and commercial/industrial construction - Sieve Contractors since 1978.
90	Vinyl expandable brief bag	$75.00	OfficeSupplies & Equipment	Serving Franklin County for over 50 years - Service is our #1 priority
91	Lunch for 2 at Basket Case	$25.00	Patients First Health Care - Orthopedics Division	"Doctors Matthews, Chalk, Lusardi and Rotramel.  Serving Washington and surrounding areas for over 18 years."
92	Dinner for 2 at Chico's	$25.00	Patients First Health Care - Orthopedic Division	"Doctors Matthews, Chalk, Lusardi and Rotramel.  Serving Washington and surrounding areas for over 18 years."
93	Droege'sTwenty (20) boneless pork chops	$40.00	Patients First Health Care-Orthopedics Division	"Doctors Matthews, Chalk, Lusardi and Rotramel.  Serving Washington and surrounding areas for over 18 years."
94	Gift Certificate for Film Transfers Reel to Reel	$60.00	Digital By Design	Digial by Design located in Downtown Washington at 218 Elm Street.
95	"$30.00 Hillermann Nursery & Florist, Inc. Gift Certificate"	$30.00	Patients First Health Care-Orthopedics Division	"Doctors Matthews, Chalk, Lusardi and Rotramel.  Serving Washington and surrounding areas for over 18 years."
96	Gift Certificate of Walk-Behind Push Mower Tune-up	$55.00	Pecka Sales and Service	Visit Pecka Sales at main and Lafayette for all your mower and chain saw needs.
97	4 - $5 Dairy Delight Gift Certificates	$20.00	Dairy Delight	"Come to Dairy Delight, 723 Jefferson @ 8th Street for great burgers, fries and ice cream treats"
98	Lunch for 2 at Basket Case	$25.00	Sahm Welding	
99	Viper 5.5 mm Bike Security Chain with Ball-bearing Lock	$60.00	Dawson Security Products	"See www.dawsonsecurity.com for your home security, gun safes, security chain, and medicine cabinets."
100	Dinner for 2 at Creamery Hill	$45.00	Sahm Welding	
101	Dinner for 2 at Creamery Hill	$50.00	Patients First Urgent Care	"When you can't wait to feel better, Patient's First Urgent Care is there for you."""""
102	One Night Stay & Full Breakfast	$110.00	CRITTER COTTAGE BED & BREAKFAST	"1860's original log cabin on 14 wooded acres complete with jacuzzi tub, full kitchen and antiques."
104	Microchip identification for a dog or cat.	$39.00	Animal Hospital of Washington - Dr. Dan Smith	This is an A.V.I.D. Microchip & includes registration.
106	$100 Series EE Bond	$50.00	Bank of Washington	Oldest and largest bank in Franklin County in support of the Rotary Club and the community.
107	Dinner for 2 at Creamery Hill	$50.00	Patients First Urgent Care	"When you can't wait to feel better, Patient's First Urgent Care is there for you."
108	$100 Series EE Savings Bond	$50.00	Bank of Washington	Oldest and largest bank in Franklin County in support of the Rotary Club and the community.
109	Dinner for 2 at Creamery Hill	$50.00	Patients First Urgent Care	"When you can't wait to feel better, Patient's First Urgent Care is there for you."
110	$100 Series EE Savings Bond	$50.00	Bank of Washington	Oldest and largest bank in Franklin County in support of the Rotary Club and the community.
111	Dinner for 2 at Creamery Hill	$50.00	Patients First Urgent Care	"when you can't wait to feel better, Patient's First Urgent Care is there for you."
112	$100 Series EE Savings Bond	$50.00	Bank of Washington	Oldest and largest bank in Franklin County in support of the Rotary Club and the community.
113	8-Inch Round Frozen Cake	$16.00	Dairy Queen	Come in for your cake decorated as you wish - 390-9797
114	$250 Downtown Washington Gift Certificate	$250.00	Bank of Washington	Visit our Schnucks Branch which is open 7 days a week
115	Droege's Dinner for Eight	$40.00	Dr. John B. Crane	
116	Lunch for 2 at Basket Case	$25.00	"Hodges Badge Company, Inc."	
117	8-Inch Round Frozen Cake	$16.00	Dairy Queen	Come in for your cake decorated as you wish - 390-9797
118	Williams Brothers Natural Hickory Smoked Bone-In Ham	$60.00	Dr. Kevin Walde - Walde Orthodontic Assoc.	
119	$250 Downtown Washington Gift Certificate	$250.00	Bank of Washington	Oldest and largest bank in Franklin County in support of the Rotary Club and the community.
120	$250 Downtown Washington Gift Certificate	$250.00	Bank of Washington	Visit our Schnucks Branch which is open 7 days a week
121	Williams Brothers famous 4 oz filet Mignon	$50.00	Dr. Jon Lebsack	
122	8-Inch Round Frozen Cake	$16.00	Dairy Queen	Come in for your cake decorated as you wish - 390-9797
123	$250 Downtown Washington Gift Certificate	$250.00	Bank of Washington	Oldest and largest bank in Franklin County in support of the Rotary Club and the community.
124	$50 Gift Card	$50.00	Fas-Trip Convience Store	"For your gas, coffee, and miscellaneous items, come to Fast-Trip C-Stores"
125	Dinner for 2 at Creamery Hill	$50.00	Washington Super 8	"Washington Super 8 Motel.  Award winning ""Pride of Super 8"" offering free high speed internet access, complimentary continental breakfast, free HBO, in-room coffee, fitness center, guest laundry and meeting facilities.  For reservations, call 390-008"
126	8-Inch Round Frozen Cake	$16.00	Dairy Queen	Come in for your cake decorated as you wish - 390-9797
127	Gift Certificate	$25.00	Designer Threads	Come see us for the biggest selection of baby gifts & other items for every member of the family.
128	"Budweiser - NASCAR Dale Earnhardt, Jr. Revolving Light"	$495.00	Tom & Kimra Coons	
129	Off-Road ATV Helmet	$90.00	J & W Cycles	See J.W. Cycles for all of your ATV and personal water craft needs.
130	2 VIP Tickets to the Dodge Ram 200 NASCAR Truck Race	$150.00	"Kurt Voss, Attorney at Law"	"Kurt Voss, Attorney at Law"
131	"Gift Certificate toward eye exam, fram & lenses or contact lens package"	$75.00	Eyecare of Washington	Eyecare Washington-1090 Washington Square-next to Subway - 239-2020. Dr. Peter M. Gubany & Dr. Patrick Pasierb
132	Sylvan Skills Assessment	$225.00	SYLVAN LEARNING CENTER	"Washington Sylvan Learning Center - ""We have a tutor for that!"""
134	"Gift Certificate toward eye exam, fram & lenses or contact lens package"	$75.00	Eyecare of Washington	Eyecare Washington-1090 Washington Square-next to Subway - 239-2020. Dr. Peter M. Gubany & Dr. Patrick Pasierb
135	Sylvan Skills Assessment	$225.00	SYLVAN LEARNING CENTER	"Washington Sylvan Learning Center - ""We have a tutor for that!"""
136	Oral-B Electric Toothbrush	$100.00	Dr. Jackie Miller - Orthodontist	"Dr. Jackie Miller, Orthodontist - We create beautiful smiles."
137	"Gift Certificate toward eye exam, fram & lenses or contact lens package"	$75.00	Eyecare of Washington	Eyecare Washington-1090 Washington Square-next to Subway - 239-2020. Dr. Peter M. Gubany & Dr. Patrick Pasierb
138	"Gift Certificate toward eye exam, fram & lenses or contact lens package"	$75.00	Eyecare of Washington	Eyecare Washington-1090 Washington Square-next to Subway - 239-2020. Dr. Peter M. Gubany & Dr. Patrick Pasierb
139	Gift Certificate	$35.00	Ruthie's	"For Fine Fashions- go to Ruthie's-Ruthie, Sarah & their employees will be there to heop & advise you. You'll enjoy the personal attention they give you."
140	Lunch for 4 at Basket Case	$50.00	Mark Kluesner & Steve Dobsch Bldg. & Remodeling	"Mark & Steve, supporting Rotary and the community."
141	Seasonal opening of your pool	$140.00	OZARK POOL & SPA	Ozark Pool & Spa offers a full line of chemicals and service on all pools & spas and service for most pools and spas.
142	2-Free date nights - evening & weekends only.	$60.00	Kids Ahoy Learn & Care Center	"Kid's Ahoy is a 24 hr./7 day a week center and parents love to be able to go on a date night. 1st., 2nd, and 3rd shift available."
143	Dinner for 2 at Creamery Hill	$50.00	Mark Kluesner & Steve Dobsch Bldg. & Remodeling	"Mark & Steve, supporting Rotary and the community."
144	Dinner for 2 at Creamery Hill	$40.00	Weiskopf Cabinets	
145	Droege's BBQ Package	$45.00	Miller Funeral Home	
146	Williams Brothers BBQ Package	$80.00	Miller Funeral Home	
147	4 Chicken and Fish Dinners at the Elks Lodge	$30.00	Elks Lodge #1559	Enjoy a delicious meal with all the trimmings at the Elks Lodge on West 5th Street
148	Droege's BBQ Package	$45.00	Miller Funeral Home	
149	Gift Certificate	$40.00	A.R.T. Concrete & Tool Supply Co	"For all your construction supplies, Bobcat rental, dump trailer rental, mini excavator rental & much more.  6549 Meyer Drive by Shaw's Cabinet off Highway A."
150	Williams Brothers BBQ Package	$80.00	Miller Funeral Home	
151	Gift Card for Fischer BP Food Shop	$25.00	Fischer BP Food Shop	Good luck on the Rotary Auction from your friends at Fischer BP Food Shop
152	$35.00 Aldo's Restaurant Gift Certificate	$35.00	Coldwell Banker Premier - Sandy Bolte	Buying your 1st home or looking for a change? Just call and I'd be happy to help with you real estate need. Sandy Bolte 314-550-0455
153	Gift Certificate for Fischer BP Food Shop	$25.00	Fischer BP Food Shop	Good luck on the Rotary Auction from your friends at Fischer BP Food Shop
154	Gift Certificate	$40.00	A.R.T. Concrete & Tool Supply Co	"For all your construction supplies, Bobcat rental, dump trailer rental, mini excavator rental & much more.  6549 Meyer Drive by Shaw's Cabinet off Highway A."
155	Gift Certificate for Fischer BP Food Shop	$25.00	Fischer BP Food Shop	Good luck on the Rotary Auction from your friends at Fischer BP Food Shop
156	Gift Certificate for 1040 Tax Preperation	$40.00	"Jeri Schaefer, C.P.A."	"For individuals, familes or L.L.C's call 573-459-6602"
157	Partry of 4 - 2 buy one get one free coupons	$100.00	Warrenton Golf Course	"Enjoy a round of golf at the Warrenton Golf Course, one of the oldest & finest courses around.  Kevin or Keith will be glad to accommodate you."
158	"$30.00 Hillermann Nursery & Florist, Inc. Gift Certificate"	$30.00	 Betsy Hazel & Nancy Walkenhorst	The team with experience for the past 18 years.  Call Nancy and Betsy for all your real-estate needs.
159	"One hour massage at Backs, Bodies & More"	$60.00	Ziglin Graphics & Signs	"One hour massage at Backs, Bodies & More compliments of Ziglin Sign"
160	Party for up to 50 people at the old Droege's clubhouse	$900.00	Red Noelker	"Donated by Red Noelker, Dan Neidre, Rick Wunderlich, Tim Wunderlich, Chuck Marquart, Herb Alferman, Butch Droege, Steve Lochirco, Steve Forget, and Herb Dill"
161	Droege's Dinner for Eight	$40.00	Betsy Hazel and Nancy Walkenhorst	The team with experience for the past 18 years.  Call Nancy and Betsy for all your real-estate needs.
162	4 $15.0 gift certificates	$60.00	Wimpy's Sandwich Shop	For the best sandwiches in town go to Wimpy's on 521 Jefferson St
163	Lunch for 2 at Basket Case	$25.00	Betsy Hazel & Nancy Walkenhorst	The team with experience for the past 18 years.  Call Nancy and Betsy for all your real-estate needs.
164	"Shampoo, cut and style from Haire Works"	$25.00	Haire Works - Kathy Westrich	"Haire Works - Cathy Westrich, 619 Franklin Street in Washington, 239-4950.  Open Tuesday - Saturday, walk-ins welcome.  Matrix-Redken, Nexus products available."
165	"$30.00 Hillermann Nursery & Florist, Inc. Gift Certificate"	$30.00	Betsy Hazel and Nancy Walkenhorst	The team with experience for the past 18 years.  Call Nancy and Betsy for all your real-estate needs.
166	Droege's BBQ Feast	$45.00	Dr. Roger Walkenhorst DDS	
167	Lunch for 2 at Basket Case	$25.00	Coldwell Banker Premier - Shana Cillo	Coldwell Banker Premier - Your top selling agent
168	Giant Food Party	$160.00	Droege's Supermarket & Catering	"100 pieces of our famous fried chicken, 10 lbs of potato salad, 10 lbs of cole slaw, 10 two-liter Pepsi products, 50 rolls & butter"
169	Gift Certificate for a wine appreciation basket.	$35.00	Blumenhoff Vinyards	"Fine people, fabulous wine, fun times."
170	Dinner for 2 at Chico's	$25.00	Coldwell Banker Premier-Joyce Schatz	"Make """"Joyce Your Choice"""" in helping to make your dreams come true. Whether buying or selling a home give her a call at 314-707-4400 or 239-0631x13"
171	$20.00 gift certificates	$40.00	Subway	
172	Gift Certificate for deep therapeutic massage - 30 minutes	$35.00	Dr. Simmons & Erika Brown C.M.T.	Family health & wellness naturally.  Call 239-5556 for appointment.
173	Lunch for 2 at Basket Case	$25.00	Coldwell Banker Premier-Joyce Schatz	"Make """"Joyce Your Choice"""" in helping to make your dreams come true. Whether buying or selling a home give her a call at 314-707-4400 or 239-0631x13."
174	$110 off your next painting project by Professional Touch	$100.00	Professional Touch Painting	Professional Touch for all your painting needs
175	$20.00 gift certificates	$20.00	Subway	
176	$35.00 Aldo's Restaurant Gift Certificate	$35.00	Coldwell Banker Premier-Joyce Schatz	"Make """"Joyce Your Choice"""" in helping to make your dreams come true. Whether buying or selling a home give her a call at 314-707-4400 or 239-0631x13."
177	One month of guitar or banjo lessons @ Mozingo Music	$80.00	TOTAL HEALTH CHIROPRACTIC & ACUPUNCTURE	Mozingo Makes Music
178	Gift Certificate	$30.00	The Inn	"Good drinks, great food served all hours."
179	Williams Brothers BBQ Package	$80.00	Medicine Shoppe	"Where you get fast, friendly, convenient service"
180	$50 Gift Certificate Toward a Pair of Prescription Glasses	$50.00	"Advanced Sight Center, Inc."	Come to Advanced Sight Center for your eyecare needs.
181	52 Automatic car washes - 1 / week for 52 weeks	$234.00	J & M Car Wash	"For the best automatic car wash in town at J & M Car Wash, Jefferson & Market"
182	Dinner for 4 at Creamery Hill	$100.00	"MENTZ FOUNDATIONS, INC."	"When building your new home's basement foundation, give Mentz Foundation a call"
183	Permanent	$40.00	University of Cosmotology	"""For those who qualify"" - grants and loans are available."
184	Free Lasik Exam	$150.00	"Advanced Sight Center, Inc."	Come to Advanced Sight Center for your eyecare needs.
185	2 Box seats behind home plate for Cardinals game - April 4	$100.00	Dill Plumbing	For all your plumbing needs - new or repairs - see Dill Plumbing 719 S Jefferson 239-3400
186	One Pair Non-Prescription Sunglasses	$150.00	"Advanced Sight Center, Inc."	Come to Advanced Sight Center for your eyecare needs.
187	One Pair Non-Prescription Sunglasses	$150.00	"Advanced Sight Center, Inc."	Come to Advanced Sight Center for your eyecare needs.
188	One Pair Non-Prescription Sunglasses	$150.00	"Advanced Sight Center, Inc."	Come to Advanced Sight Center for your eyecare needs.
189	Four Rams Pre-season Tickets	$200.00	"HAZEL INVESTMENTS, LP"	Good luck with the radio auction.
190	10 Large buckets of balls	$60.00	Big Driver	The Best Driving Range in Washington.  Mini Golf improve your game come to Big Driver & see Tom
191	$35.00 Aldo's Restaurant Gift Certificate	$35.00	Coldwell Banker Premier-Philip & Danyee Mundwiller	Coldwell Banker Premier Group - Call us for your real estate needs
192	Four Rams Pre-season Tickets	$200.00	"HAZEL INVESTMENTS, LP"	Good luck with the radio auction.
193	Four Rams Pre-season Tickets	$200.00	"HAZEL INVESTMENTS, LP"	Good luck with the radio auction.
194	J&M Car Wash-10 Automatic car wash package	$30.00	RE/MAX FIRST GOLD - John J. Fischer	Get hooked on great service - call John Fischer at Re/Max First Gold 239-4742 for all your real estate needs.
195	Gift Certificate	$25.00	Gourmet Café	
196	Permanent	$40.00	University of Cosmotology	"""For those who qualify"" - grants and loans are available."
197	2 adult athletic passes & $25.00 gift certificate to spirit shop	$95.00	St. Francis Borgia Regional HS	
198	Gift Certificate	$40.00	SCRAPPERS' ALLEY	Scrapper's Alley - The Scrapbook Store
199	$100 Gift Certificate for Merchandise	$100.00	Country Manor Decorating	
200	2 Monday-Friday 18 hole green fee w/cart at Wolf Hollow	$35.00	RE/MAX FIRST GOLD-John J. Fischer	Get hooked on great service - call John Fischer at Re/Max First Gold 239-4742 for all your real estate needs.
201	2 - 1/2 hour golf lesson with Scott Brauer at Wolf Hollow	$50.00	Realty Net Advantage -  Ralph Gildehaus	"""You'll Be Sold on Us"""
202	Gift Certificate to the Copper Sun - Stacy Scheidegger	$30.00	Advanced Graphics Inc.  - Shelly McCaskill	The Copper Sun is a retial store for home décor and furnishings located on 5th street across from the Elks.
203	"2 Cardianal tickets - section 162, row 27 - dug out box"	$76.00	Innovative Enterprises	Great seats under an overhang on the 3rd base side of the new stadium.  Go world champion Cards!
204	1 - Hot Oil Manicure & 1 - Hot Oil Pedicure	$30.00	University of Cosmotology	"""For those who qualify"" - grants and loans are available."
205	2 Weekend 18 hole green fees w/cart at Wolf Hollow	$70.00	DaCa Machine	In business for over 30 years.  It's a full CNC sheet metal fabricating & machining facility with 3.4 & 5 axis machining capabilities.
206	Gift Certificate	$30.00	D & D'S LITTLE SICILY RESTAURANT	"Great Italian food, open 7 nights a week - at the corner of 5th and Stafford."
208	Spa facial	$50.00	The Body Natural	Daily health rituals & practices can awaken our environment with great purpose & clairty.  Come in & experience plant-based aromatherapy in a relaxing atmosphere.
209	$50 Gift Card	$50.00	Fas-Trip Convience Store	
210	Spa facial	$50.00	The Body Natural	Daily health rituals & practices can awaken our environment with great purpose & clairty.  Come in & experience plant-based aromatherapy in a relaxing atmosphere.
211	"$30.00 Hillermann Nursery & Florist, Inc. Gift Certificate"	$30.00	Mike & Gail Lause Country Living Real Estate	Call 636-239-1115 for Country Living Real Estate.  Let Mike or Gail's professionalism with care help you whether you are buying or selling  real estate.
212	Gift Certificate	$50.00	Schroeder Drug Store	Your home town drug store-Visit our facility at Patients First
