Item #	Item Description	R Value	Donar	Advertisement
18	Disney Kid's Sleeping Bag features Princesses	$19.99	"North Pole U.S., LLC"	"Fit for your very own little pricess!  Ariel, Belle and Sleeping Beauty adorn this flower covered pink bag.  Indoor/Outdoor use - 29"" x 60"" washable polyester."
19	Disney Kid's Sleeping Bag - Princesses	$19.99	"North Pole U.S., LLC"	"Fit for your very own little pricess!  Ariel, Belle and Sleeping Beauty adorn this flower covered pink bag.  Indoor/Outdoor use - 29"" x 60"" washable polyester."
20	Disney Kid's Sleeping Bag - Princesses	$19.99	"North Pole U.S., LLC"	"Fit for your very own little pricess!  Ariel, Belle and Sleeping Beauty adorn this flower covered pink bag.  Indoor/Outdoor use - 29"" x 60"" washable polyester."
21	Disney Kid's Sleeping Bag - Princesses	$19.99	"North Pole U.S., LLC"	"Fit for your very own little pricess!  Ariel, Belle and Sleeping Beauty adorn this flower covered pink bag.  Indoor/Outdoor use - 29"" x 60"" washable polyester."
22	$15.00 Gift Card to Cecil Whittaker's Pizza	$15.00	Cecil Whitttaker's Pizza	"Enjoy our """"Buy One - Get One Free Specials"""" everyday!  At Cecil Whittaker's Pizza"
23	$15.00 Gift Card to Cecil Whittaker's Pizza	$15.00	Cecil Whitttaker's Pizza	"Enjoy our """"Buy One - Get One Free Specials"""" everyday!  At Cecil Whittaker's Pizza"
24	$15.00 Gift Card to Cecil Whittaker's Pizza	$15.00	Cecil Whitttaker's Pizza	"Enjoy our """"Buy One - Get One Free Specials"""" everyday!  At Cecil Whittaker's Pizza"
25	$15.00 Gift Card to Cecil Whittaker's Pizza	$15.00	Cecil Whitttaker's Pizza	"Enjoy our """"Buy One - Get One Free Specials"""" everyday!  At Cecil Whittaker's Pizza"
26	Basket of Men's Hair Products	$45.00	Hair Engineers West Inc	Located in Washington Square - 3909-2022
27	Men's Haircut by Melanie Norris	$16.00	Hair Engineers West Inc	Located in Washington Square - 390-2022
28	Men's Hair Cut by Vicky Openauer	$16.00	Hair Engineers West Inc	Located in Washington Square - 390-2022
29	$25.00 Gift Certificat to Four Seasons Florist	$25.00	Four Seasons Florist	"For beautiful flowers, a special occasion or any day - call Michelle @ Four Seasons Florist!"
30	$25.00 Gift Certificate to Four Seasons Florist	$25.00	Four Seasons Florist	"For beautiful flowers, a special occasion or any day - call Michelle @ Four Seasons Florist!  Located in Downtown Washington"
31	Men's Haircut by Newt	$14.00	Newton's Total Care	"Newton's Total Care - 1201 Jefferson """"Behind Aldo's"""""
32	$30.00 Gift Certificate to Inscriptions Engraved Gifts	$30.00	Inscriptions Engraved Gifts	A full-service engraving shop located with Show-Me Trophies & Awards in Downtown Washington.
33	$30.00 Gift Certificate to Inscriptions Engraved Gifts	$30.00	Inscriptions Engraved Gifts	A full-service engraving shop located with Show-Me Trophies & Awards in Downtown Washington.
34	$30.00 Gift Certificate to Inscriptions Engraved Gifts	$30.00	Inscriptions Engraved Gifts	A full-service engraving shop located with Show-Me Trophies & Awards in Downtown Washington.
35	$30.00 Gift Certificate to Inscriptions Engraved Gifts	$30.00	Inscriptions Engraved Gifts	A full-service engraving shop located with Show-Me Trophies & Awards in Downtown Washington.
36	$25.00 Gift Certificate for Fischer BP Food Shop	$25.00	Fischer BP Food Shop	Good luck on the Rotary Auction from your friends at Fischer BP Food Shop
37	$25.00 Gift Certificate for Fischer BP Food Shop	$25.00	Fischer BP Food Shop	Good luck on the Rotary Auction from your friends at Fischer BP Food Shop
38	$25.00 Gift Certificate for Fischer BP Food Shop	$25.00	Fischer BP Food Shop	Good luck on the Rotary Auction from your friends at Fischer BP Food Shop
39	$25.00 Gift Certificate for Fischer BP Food Shop	$25.00	Fischer BP Food Shop	Good luck on the Rotary Auction from your friends at Fischer BP Food Shop
40	"4 Cardinal Tickets for April 15, 2008"	$160.00	HTH Companies	Outfield Box Section 133
41	1 Hour massage at Roller & Company	$50.00	Roller and Co.	"Encapsulating 12 years of experience focused on you.  1 full hour massage tailored to your needs.  De-Stress, Relax and Enjoy"
42	1 1/2 Custom Facial at Roller and Co.	$60.00	Roller and Co.	"Be pampered, relaxed and your face rejuvenated during  1 1/2 hour facial extrordinaire"
43	Lunch for 2 at Basket Case	$25.00	Basket Case Import & Deli	Celebrating our 24th year.  Still the best place for Lunch.  Fresh seafood. Daily specials and great desserts.
44	Lunch for 4 at Basket Case	$50.00	Basket Case Import & Deli	Celebrating our 24th year.  Still the best place for Lunch.  Fresh seafood. Daily specials and great desserts.
45	Dinner for 4 at Creamery Hill	$100.00	Robert and Debra Marfisi	"Celebrating our 24th year. Still the best dining in Washington, whether you are hungering for a great meal or a special occasion remember Creamery Hill Café is waiting for you"
46	Dinner for 2 at Creamery Hill	$50.00	Robert and Debra Marfisi	"Still the best dining in Washinton.  Fresh fish, creative pastas and great service.  Menu changes by the season, also offering imaginative catering for your special occasion."
47	1 1/2 Hour Custom Facial at Roller & Co.	$60.00	Teton  Consultants	
48	Lunch for 2 at Basket Case	$25.00	"Stahlhuth & Rudder, LC"	Call your local legal team of attorneys to handle your personal injury or worker's compensation case.
50	"$50.00 Hillermann Nursery & Florist, Inc.Gift Certificate"	$50.00	"Hochschild, Bloom & Company"	Accounting and tax servies; individual and business tax preparation
51	Dinner for 4 at Creamery Hill	$100.00	"Hochschild, Bloom & Company"	Accounting and tax services; individual and business tax preparation
52	Droege's BBQ Rib Feast	$45.00	Oltmann Funeral Home	Celebrating 100 years of family ownership in 2008!
53	Williams Brothers famous 4 oz filet mignon	$60.00	Oltmann Funeral Home	Celebrating 100 years for family ownership in 2008
54	2 Sirloin Dinners with buffet and Sundae Bar	$22.00	Ponderosa	
55	2 Sirloin Dinners with buffet and Sundae Bar	$22.00	Ponderosa	
56	2 Sirloin Dinners with buffet and Sundae Bar	$22.00	Ponderosa	
57	2 Sirloin Dinners with buffet and Sundae Bar	$22.00	Ponderosa	
58	$100.00 Gift Certificate to Krawitz Tire and Auto	$100.00	Krawitz Tire & Auto	Call Joe at 636-239-6668 for excellent service
59	$50.00 Gift Certificat to Time to Travel	$50.00	Time to Travel	Call Andy at 636-239-3040 for all your travel needs
60	$50.00 Gift Certificate to Time to Travel	$50.00	Time to Travel	call Andy  @636-239-3040 for all your travel needs
61	36: Busdwiser Clydesday Pool Table Light	$200.00	Thomas & Kimra Coons	
62	"4 - 17oz Commuter Mugs in Blue, Red, Green and White"	$32.00	Quick Point	Mede from 100% corn plastic - Eco Friendly
63	$59.85 YHTI Gift Certificate	$59.85	YHTI	YHTI Internet
64	$59.85 YHTI Gift Certificate	$59.85	YHTI	YHTI Intenet
65	$25.00 Gourmet Café Gift Certificate	$0.00	Gourmet Café	
66	5' Billiard Ball Pool Table Lamp with 3 Glass Shades	$350.00	Tom & Kimra Coons	
67	In Home Design Consultation	$125.00	Country Manor Decorating	
68	$50.00 Mid American Tours Gift Certificate	$50.00	Mid American Coaches	Making your travel dreams a reality
69	Lunch for 2 at Basket Case	$25.00	American Family Insurance	Rely on Bob Coleman - American Family Insurance for all your insurance needs
70	Droege's Six (6) US choice KC 12 oz strip steaks	$45.00	American Family Insurance	Rob Vossbrink - American Family Insurance.  See Rob for all of your insurance needs.
71	Dinner for 4 at Creamery Hill	$100.00	Moore Gear Manufacturing	Makers of quality gears and gear racks
72	Dinner for 4 at Creamery Hill	$100.00	Missouri Occupational Medicine	
73	One Adult Season Pass to the 2008 Washington Town & Country Fair	$40.00	Ameren UE	
74	One Adult Season Pass to the 2008 Washington Town & Country Fair	$40.00	Ameren UE	
75	Williams Bros. Natural Hickory smoked bone-in ham	$60.00	Little Rascals Preschool	Now enrolling for Fall 2008.  Call 239-5629
76	2nd Night Stay in King Room Free w/ Purchase of 1st Night	$99.00	BRICK INN B AND B	"Located at 516 W. Third Street in Washington, MO  636-390-3264.  Subject to Availability"
77	4 Cardinals vs. Cubs Tickets for July 4th	$180.00	Dr. H. Groves Cooke	Section 155 Row 13 seats 5-8
78	$50.00 Gift Certificate to Starcrest Cleaners	$50.00	Starcrest Cleaners	Bright Ideas in dry cleaning
79	$50.00 Gift Certificate to Starcrest Cleaners	$50.00	Starcrest Cleaners	Bright Ideas in dry cleaning
80	$25.00 Rainbow International Gift Certificate	$25.00	Rainbow Inter. Carpet	Carpet and upholstery cleaning.
81	Three Month Full Adult Membership	$129.00	Four Rivers Area YMCA	Can be used for a new or existing membership
82	Three Month Full Adult Membership	$129.00	Four Rivers Area YMCA	Can be used for a new or existing membership
83	Three Month Full Family Membership	$192.00	Four Rivers Area YMCA	Can be used for a new or existing membership
84	Three Month Full Family Membership	$192.00	Four Rivers Area YMCA	Can be used for a new or existing membership
85	500 Magnetic Business Cards	$160.00	Magnet LLC	
86	"Swing Dance Class for a Couple June 12-17, 7:00-8:30pm"	$55.00	East Central College	For information on this and many other fun Community Education opportunities call 636-583-5193 x 2410 to get a full schedule mailed to your home
87	"Summer Fitness Center Membership, June 9th - July 31st."	$55.00	East Central College	Morning and evening hours are available Monday through Thursdays.  To get more information about this and many other 'summer camps for kids' call 636-583-5193 ext 2410 to get a schedule mailed to your home.
88	$30.00 Schulte's Bakery Gift Certificate	$30.00	Schulte's Bakery	"Family owned, in Washington, for over 45 years."
89	$30.00 Schulte's Bakery Gift Certificate	$30.00	Schulte's Bakery	"Family owned, in Washington, for over 45 years."
90	$30.00 Schulte's Bakery Gift Certificate	$30.00	Schulte's Bakery	"Family owned, in Washington, for over 45 years."
91	$30.00 Schulte's Bakery Gift Certificate	$30.00	Schulte's Bakery	"Family owned, in Washington, for over 45 years."
92	$25.00 worth of Product from Tom's Barber Shop	$25.00	Tom's Barber Shop	"Tom's' Barber Shop, 203 West Main in Downtown Washington"
93	Lunch for 4 at Basket Case	$50.00	Wachovia Securities - Andy Beckermann	
94	$50 Dusty Attic Antiques Gift Certificate towards a purchase of $100 or more	$50.00	Dusty Attic Antiques	Voted #1 Antique Shop in the 2007 Washington Missourian Readers Poll.  Located 6 miles west of Washington on Hwy 100
95	$50.00 Schroeder Drug Store Gift Certificate	$50.00	Schroeder Drug Store	Your hometown drug store.  Visit our store in Downtown Washington or at Patients First
96	Williams Brothers famous 4 oz filet mignon	$60.00	Reniassance Financial Inc. - Tim Wunderlich	Serving small business & individual clients with their complete financial planning needs.
97	$35.00 Aldo's Restaurant Gift Certificate	$35.00	reniassance Financial Inc.-Tim Wunderlich	Serving small business & individual clients with their complete financial planning needs.
98	"Fas-Trip Gift Basket - gas card, carwash card, Lion's Choice Gift Card and other Misc items"	$100.00	Fas-Trip Convience Store	"For your gas, coffee, and miscellaneous items, come to Fast-Trip C-Stores"
99	"Fas-Trip Gift Basket - gas card, carwash card, Lion's Choice Gift Card and other Misc items"	$100.00	Fas-Trip Convience Store	"For your gas, coffee, and miscellaneous items, come to Fast-Trip C-Stores"
100	"Fas-Trip Gift Basket - gas card, carwash card, Lion's Choice Gift Card and other Misc items"	$100.00	Fas-Trip Convience Store	"For your gas, coffee, and miscellaneous items, come to Fast-Trip C-Stores"
101	Tommy Hilfiger UV Protected Sunwear	$100.00	Obermark Optometry	Obermark Optometry - stop by their 222 West Main Street location in downtown Washington to pick up your UV Protected Tommy Hilfiger Sunwear.  Nice Sunwear!!  Bid Early!!
102	Sylvan Skills Assessment	$235.00	Sylvan Learning Center	"Sylvan Learning Center - stop by their 6244 Highwy 100 location to pick up your Sylvan Skills Assessment Certificate. ""Catch up, Keep up, Get Ahead""!"
103	Sylvan Skills Assessment	$235.00	Sylvan Learning Center	"Sylvan Learning Center - stop by their 6244 Highwy 100 location to pick up your Sylvan Skills Assessment Certificate. ""Catch up, Keep up, Get Ahead""!"
104	One 1 hour Golf Lesson with Sam Goulden	$80.00	Wolf Hollow Golf Course - Sam Goulden	Helping golfers understand their swing and take it to the course
105	Four (4) Weekend 18 Hole Green Fess with Cart	$168.00	Wolf Hollow Golf Course	Now with the Vector Pro Launch Monitor - the best way to fit clubs to your game.
106	Eight (8) 18 Hole Green Fees w/Cart  (Mon-Fri)	$216.00	Wolf Hollow Golf Course	Now with the Vector Pro Launch Monitor - the best way to fit clubs to your game.
107	Two (2) 1/2 hour Golf Lessons with Mike Weirich	$80.00	wolf Hollow Golf Course - Mike Weirich	Start your season off right with lessons from the Professionals at Wolf Hollow
108	Universal Media Dual Screen Portable DVD System	$399.00	Modern Auto	"Modern Auto is your only full line General Motors dealer in Franklin County.  We sell, service and repair Chevrolet, Buick, Pontiac, GMC, Cadillac and GM medium duty trucks."
109	Truck Bug Shield	$70.00	Accessories Unlimited LLC	Stop by Accessories Unlimited for all of your automotive accessories.
110	Four Rams Pre-season Tickets	$200.00	"HAZEL INVESTMENTS, LP"	Good luck to the Washington Rotary Club Radio Auction
111	Four Rams Pre-season Tickets	$200.00	"HAZEL INVESTMENTS, LP"	Good luck to the Washington Rotary Club Radio Auction
112	Four Rams Pre-season Tickets	$200.00	"HAZEL INVESTMENTS, LP"	Good luck to the Washington Rotary Club Radio Auction
113	$50.00 Advanced Sight Center Gift Certificate	$50.00	"Advanced Sight Center, Inc."	come to Advanced Sight Center for your eyecare needs.  Gift certificate can be used towards the purchase of prescription glasses or sunglasses.
114	$50.00 Advanced Sight Center Gift Certificate	$50.00	"Advanced Sight Center, Inc."	come to Advanced Sight Center for your eyecare needs.  Gift certificate can be used towards the purchase of prescription glasses or sunglasses.
115	Free Lasik Exam	$200.00	"Advanced Sight Center, Inc."	Come to Advanced Sight Center for your eyecare needs.
116	$100 off Insurance Deductible at Mobile Glass	$100.00	Mobile Glass Service	In shop replacement only.
117	$100 off Insurance Deductible at Mobile Glass	$100.00	Mobile Glass Service	In shop replacement only.
118	$100 off Insurance Deductible at Mobile Glass	$100.00	Mobile Glass Service	In shop replacement only.
119	$100 off Insurance Deductible at Mobile Glass	$100.00	Mobile Glass Service	In shop replacement only.
120	Spa Manicure and Pedicure	$54.00	The Body Natural	Daily health rituals & practices can awaken our environment with great purpose & clairty.  Come in & experience plant-based aromatherapy in a relaxing atmosphere.
121	Spa Manicure and Pedicure	$54.00	The Body Natural	Daily health rituals & practices can awaken our environment with great purpose & clairty.  Come in & experience plant-based aromatherapy in a relaxing atmosphere.
122	One Hour Massage	$50.00	The Body Natural	Daily health rituals & practices can awaken our environment with great purpose & clairty.  Come in & experience plant-based aromatherapy in a relaxing atmosphere.
123	One Hour Massage	$50.00	The Body Natural	Daily health rituals & practices can awaken our environment with great purpose & clairty.  Come in & experience plant-based aromatherapy in a relaxing atmosphere.
124	$900 Commercial Photography Package 1/2 day studio or lacation time and  high res digital images	$900.00	Curt Dennison Photography	"Proper lighting, composition and layout show off your business as professional and successful.  You can have your business, product, or service stand out from the rest by using top-quality photos in all our your advertising."
125	Lunch for 2 at Basket Case	$25.00	ManPower Services	We lead in the creation and delivery of services that enable our clients to win in the changing world of work.
126	"8"" Round Frozen Cake"	$17.99	Dairy Queen	"Come in th the Washington Dairy Queen, home of the blizzard, for 2 for $2.00 cheeseburgers or for an ice cream cake."
127	"8"" Round Frozen Cake"	$17.99	Dairy Queen	"Come in th the Washington Dairy Queen, home of the blizzard, for 2 for $2.00 cheeseburgers or for an ice cream cake."
128	"8"" Round Frozen Cake"	$17.99	Dairy Queen	"Come in th the Washington Dairy Queen, home of the blizzard, for 2 for $2.00 cheeseburgers or for an ice cream cake."
129	"8"" Round Frozen Cake"	$17.99	Dairy Queen	"Come in th the Washington Dairy Queen, home of the blizzard, for 2 for $2.00 cheeseburgers or for an ice cream cake."
130	$150.00 Dog House Woodworking Gift Certificate	$150.00	Dog House Woodworking - Greg Skornia	Call Greg Skornia @ 636-239-7982 for your furniture repair and refinishing or for custom woodworking
131	$150.00 Dog House Woodworking Gift Certificate	$150.00	Dog House Woodworking - Greg Skornia	Call Greg Skornia @ 636-239-7982 for your furniture repair and refinishing or for custom woodworking
132	Grant Food Party (100 pieces of Droege's Famous Fried Chicken and sides)	$150.00	Droege's Supermarket	"Call 239-6765 2 weeks in advance to order.  Package includes:  100 pieces of Droege's Famous Fried Chicken, 10# of potato salad, 10# of coleslaw, 50 rolls and butter and 10 Two liter pepsi products."
133	Accu-Chek Advantage Diabetes Monituring Kit	$87.87	"Hall's Pharmacy, Inc."	Located at Krakow Korners in Washington.  Offering free delivery service and senior discount.  Please call 636-390-2828
134	"$30.00 Hillermann Nursery & Florist, Inc. Gift Certificate"	$30.00	"Country Living Real Estate, Inc."	
135	"$30.00 Hillermann Nursery & Florist, Inc. Gift Certificate"	$30.00	"Country Living Real Estate, Inc."	
136	"$30.00 Hillermann Nursery & Florist, Inc. Gift Certificate"	$30.00	"Country Living Real Estate, Inc."	
137	"$30.00 Hillermann Nursery & Florist, Inc. Gift Certificate"	$30.00	"Country Living Real Estate, Inc."	
138	Droege's Famous Fried Chicken Dinner for eight	$40.00	Joanna Eiermann Farmers Insurance Group	Call Joanna for all your insurance needs - 239-1172
139	2 Weekend 18 hole green fees w/cart at Wolf Hollow	$84.00	American National Insurance - Larry Frick	Call Larry for all your insurance needs.  239-6177
140	2 Monday-Friday 18 hole green fee w/cart at Wolf Hollow	$50.00	United Mutual Insurance Company	Your Hometown alternative for insurance.   Come Home to United Mutual Insurance.
141	Droege's BBQ Package	$45.00	United Mutual Insurance Company	Your Hometown alternative for insurance.   Come Home to United Mutual Insurance.
142	Droege's BBQ Package	$45.00	Dan Yoest Ins. Agency	For all your insurance needs call the Dan Yoest Agency 239-1130 or in Union 583-3822
143	"2 Cardinal Tickets Section 164, Row 6"	$80.00	Shelter Ins. - Dave Hackman	"For all your insurance needs, call Dave @ 239-3737  211 Jefferson Street in Washington,  Tickets are for a mutually agreed upon date."
144	$25.00 Gift Certificate to The Art Center	$25.00	The Art Center	Visit the Art Center for framing and art gallery.
145	2 Adult and 2 Children Tickets to the Town & Country Fair	$130.00	Fair Board and Washington Area Chamber of Commerce	
146	Whole Hog and Processing	$140.00	"Deppe Farms, Inc."	
147	8# Sliced Hickory Smoked Home Cured Bacon	$32.00	Voss Market	
148	8# Sliced Hickory Smoked Home Cured Bacon	$32.00	Voss Market	
149	1 Night Stay at La Dolce Vita Winery and Bed & Breakfast	$190.00	La Dolce Vita Winery & Bed & Breakfast	la Dolce Vita winery is located in the hostoric Zachariah Foss House on the Washington Riverfront
150	2 VIP Passes to the Nascar 2008 Craftsman Truck Race at Gateway	$150.00	"Kurt Voss, Attorney at Law"	"Kurt Voss, Attorney at Law"
151	2 MIZZOU Tickets and a Tailgate Party!	$150.00	"Kurt Voss, Attorney at Law"	Help us cheer the Tigers on to another great year.  Pick a game in September to enjoy and we will provide the tailgate party.  GO TIGERS!!
152	Oakley Pro M Frame (outfielder sunglasses) Red Frame - Black Lens	$150.00	J & W Cycles	"J & W Cycles, providing the area with motorcycles, ATV's, Utility vehicles and watercraft for over 30 years."
153	Dinner for 2 at Creamery Hill	$50.00	"Zick, Voss & Politte, P.C."	Located in Historic Downtown Washington
154	Dinner for 2 at Creamery Hill	$50.00	Town & Country Title	See Wendy Zick at Town and Country Title for your real estate closing needs.
155	Williams Bros. Beef and Reef pkg	$90.00	Countywide Oral & Maxillofacial Surgery	"Michael J. Pernoud, DDS.  Countywide Oral and Maxillofacial Surgery"
157	Oral B Electric Toothbrush	$100.00	Dr. Jackie Miller	"Dr. Jackie Miller, Othodontist - We create beautiful smiles."
158	$50.00 Altemueller Jewelry Store Gift Certificate	$50.00	Altemueller Jewelry Store	"Diamonds, fine jewlry, gifts and collectibles - all with the best selection, service, price and integrity."
159	$50.00 Altemueller Jewelry Store Gift Certificate	$50.00	Altemueller Jewelry Store	"Diamonds, fine jewlry, gifts and collectibles - all with the best selection, service, price and integrity."
160	$30.00 Applebee's Bar and Grill Gift Certificate	$30.00	Applebee's Bar and Grill	New Pick 'n' Pair Luncd Combos Now Available
161	"$30.00 Hillermann Nursery & Florist, Inc. Gift Certificate"	$30.00	Michael Hoelscher CPA	"Located at 1210 Jefferson Street, 239-5005.  Mike is celebrating 30 years in 2008."
162	"$30.00 Hillermann Nursery & Florist, Inc. Gift Certificate"	$30.00	Michael Hoelscher CPA	"Located at 1210 Jefferson Street, 239-5005.  Mike is celebrating 30 years in 2008."
163	$35.00 Aldo's Restaurant Gift Certificate	$35.00	"Jackie Hoelcher Bruns, CPA"	"Located at 1210 Jefferson Street, 239-5005."
164	$35.00 Aldo's Restaurant Gift Certificate	$35.00	"Jackie Hoelscher Bruns, CPA"	"Located at 1210 Jefferson Street, 239-5005."
165	Williams Bros. Natural Hickory smoked bone-in ham	$60.00	Dr. Albert Marchiando	
166	Dinner for 4 at Creamery Hill	$100.00	Dr. Greg Potts	
167	2 Weekend 18 hole green fees w/cart at Wolf Hollow	$84.00	DaCa Machine	In business for over 30 years.  It's a full CNC sheet metal fabricating & machining facility with 3.4 & 5 axis machining capabilities.
168	"2 - 1 hour massages at Backs, Bodies & More"	$120.00	DaCa Machine	In business for over 30 years.  It's a full CNC sheet metal fabricating & machining facility with 3.4 & 5 axis machining capabilities.
169	4 TSA approved Red Luggage Security Belts	$52.00	Dawson Security Products	"For practical security solutions and low prices visit dawsonsecurity.com, a registered Federal vendor."
170	One night stay w/Hot breakfast delivered to Cabin	$125.00	Critter Cottage Bed & Breakfast	"1860's original log cabin on 14 wooded acres complete with jacuzzi tub, full kitchen and antiques."
171	$35.00 Aldo's Restaurant Gift Certificate	$35.00	Aldo's Restaurant	Aldo's True Italian Pizza & Pasta
172	$35.00 Aldo's Restaurant Gift Certificate	$35.00	Aldo's Restaurant	Aldo's True Italian Pizza & Pasta
173	$35.00 Aldo's Restaurant Gift Certificate	$35.00	Aldo's Restaurant	Aldo's True Italian Pizza & Pasta
174	$35.00 Aldo's Restaurant Gift Certificate	$35.00	Aldo's Restaurant	Aldo's True Italian Pizza & Pasta
175	Family Sitting and 1-16x20 Portrait	$165.00	Fricke Studio	"Fricke Professional Photography Studio & 1 Hour Photo, Elm Street in downtown Washington & Hermann, MO"
176	$50.00 Purcell Ellis Tire & Rubber Gift Certificate	$50.00	Purcell Ellis Tire & Rubber	"Purcell Ellis Tire & Rubber - Tires & auto repair at 5th & Elm Streets in Washington, MO 239-2724"
177	"$50.00 Hillermann Nursery & Florist, Inc.Gift Certificate"	$50.00	Steamboat Finaincial Services	Located in the Steamboat Building in Downtown Washington - call 239-1486 for all your Investment needs
178	$35.00 Aldo's Restaurant Gift Certificate	$35.00	Steamboat Finaincial Services	Located in the Steamboat Building in Downtown Washington - call 239-1486 for all your Investment needs
179	"$50.00 Hillermann Nursery & Florist, Inc.Gift Certificate"	$50.00	Steamboat Finaincial Services	Located in the Steamboat Building in Downtown Washington - call 239-1486 for all your Investment needs
180	$35.00 Aldo's Restaurant Gift Certificate	$35.00	Steamboat Finaincial Services	Located in the Steamboat Building in Downtown Washington - call 239-1486 for all your Investment needs
181	Full Leather Briecase	$200.00	Office Supplies and Equipment	"Elm Street in Downtown Washington, serving Franklin Conty for over 50 years - Service is our #1 priority"
182	Droege's 10 lb angus beef prime rib (charcoal grilled)	$100.00	Hellebusch Tool & Die	"Hellebusch Tool & Die, A part of the community for 35 years."
183	Droege's Surf & Turf package	$100.00	Unnerstall & Unnerstall CPA	Your friendly downtown tax professionals
184	Droege's Twelve (12) 16 oz of angus beef ribeye steak	$100.00	Unnerstall & Unnerstall CPA	your friendly downtown tax professionals
185	18 Holes of Golf with Cart for Four (4) and Lunch	$120.00	Franklin County Country Club	"Valid Monday - Friday and expires Dec 31, 2008"
186	$100.00 Series E Bond	$50.00	Bank of Washington	Oldest and largest bank in Franklin County in support of the Rotary Club and the community.
187	$100.00 Series E Bond	$50.00	Bank of Washington	Oldest and largest bank in Franklin County in support of the Rotary Club and the community.
188	$100.00 Series E Bond	$50.00	Bank of Washington	Oldest and largest bank in Franklin County in support of the Rotary Club and the community.
189	$100.00 Series E Bond	$50.00	Bank of Washington	Oldest and largest bank in Franklin County in support of the Rotary Club and the community.
190	$250.00 Downtown Washington Gift Certificates	$250.00	Bank of Washington	Visit our Schnucks Branch which is open 7 days a week
191	$250.00 Downtown Washington Gift Certificates	$250.00	Bank of Washington	Visit our Schnucks Branch which is open 7 days a week
192	$250.00 Downtown Washington Gift Certificates	$250.00	Bank of Washington	Visit our Schnucks Branch which is open 7 days a week
193	$250.00 Downtown Washington Gift Certificates	$250.00	Bank of Washington	Visit our Schnucks Branch which is open 7 days a week
194	Williams Brothers famous 4 oz filet mignon	$60.00	Eckelkamp Electric	"Now in our fourth generation of serving the area's business and industrial needs, with over 50 years of experience to offer our customers."
195	30 Large Center Cut Pork Steaks and BBQ Sauce	$50.00	DROEGE'S FOOD SERVICE COMPANY	"Hwy 100 East Washington, MO"
196	4 Chicken & Fish Dinners	$30.00	Elks Lodge #1559	Enjoy a delicious meal with all the trimmings at the Elks Lodge on West 5th Street
197	4 - $15.00 Wimpy's Gift Certificates	$60.00	Wimpy's Sandwich Shop	For the best sandwiches in town go to Wimpy's on 521 Jefferson St
198	52 Automatic Car Washes (1 per week for a year)	$234.00	J & M Car Wash	"For a great car washington experience go to J&M car wash, Jefferson & Market - new equipment"
