76	Gary R. Lucy Gallery	Sandy Lucy	636-239-6337 X	231 W. Main Street	Washington	MO	63090
77	Magnet LLC	Rose Duncan	636-239-5661	#7 Chamber Dr	Washington	MO	63090
78	Manpower Services	Kathy Papish	636-390-2800	1154 Clock Tower Plaza	Washington	MO	63090
80	McDonald's of Washington	Deborah Klak	636-239-7232	1180 Clocktower Plaza	Washington	MO	63090
82	Melton Machine & Control Co.	Randy Folkmann	636-239-7765	6350 Bluff Road	Washington	MO	63090
83	American Bounty Restaurant	Brian Manhardt	636-390-2150	430 W. Front St.	Washington	MO	63090
86	Mid-American Coaches, Inc.	Roger Jones	636-239-4700 X325	4530 Hwy 47 South	Washington	MO	63090-8609
87	Midwest Exteriors, Inc.	Mike Gillette	636-239-0661	2132 Hwy A	Washington	MO	63090
88	Miller Funeral Home	Robert Miller	636-239-6707	P.O. Box 604	Washington	MO	63090
89	Missouri Meerschaum Co.	Phil Morgan	636-239-2109	P.O. Box 226	Washington	MO	63090
90	Missouri Natural Gas Co.	Jim Hickman	636-584-8440	6 Progress Parkway	Union	MO	63084
91	Missourian Publishing Co.	Susan Miller	636-239-7701	P.O. Box 336	Washington	MO	63090
92	Modern Auto Co.	James Feltmann, Jr.	636-239-6777	6224 Hwy 100	Washington	MO	63090
93	Terry Moosmann, CPA		636-239-4040	28 East 6th St.	Washington	MO	63090
94	Motor Appliance Corporation	Clinton Kell	636-239-2772	P.O. Box 507	Washington	MO	63090
95	Schnucks Market	Dave Nolte	636-239-3577	2073 Washington Crossing	Washington	MO	63090
96	Nieburg-Vitt Funeral Home, Inc.	Kyle & Erica Wolfe	636-239-6422	P.O. Box 267	Washington	MO	63090
97	NEC Insurance	Linda Orrell	636-271-2481	P.O. Box 537	Pacific	MO	63069
98	Office Supplies & Equipment, Inc.	Wanda Bade	636-239-6425	217-219 Elm St.	Washington	MO	63090
99	Yellow Book USA	Sherry Edwards	636-287-3452, EXT 4007	425 South Woodsmill Rd.	Town & Country	MO	63017
100	Optimist Club of Washington		636-239-4013	P.O. Box 701	Washington	MO	63090
101	Orscheln Farm & Home Supply	Chuck Gunn	636-239-6372	860 Washington Corners	Washington	MO	63090
102	Our Lady of Lourdes Parish		636-239-3520	1014 Madison Avenue	Washington	MO	63090
103	Parmentier Auto Body Co.	George Parmentier	636-239-6240	369 WW Industrial Dr.	Washington	MO	63090
104	CG Power Systems USA Inc	Mary Shofner	636-239-9351	One Pauwels Dr	Washington	MO	63090
105	J.C. Penney Co.	Carolyn Bresnahan	636-390-2405	5886 Hwy 100	Washington	MO	63090
106	Pepsi-Cola Bottling CO.	Mark Zobrist	573-237-2411	P.O.  Box 77	New Haven	MO	63068
107	Jim Peters Signs, Inc.	Joann McCoy	636-239-4061	4836 South Point Road	Washington	MO	63090
108	Sid Thayer		636-239-4765	P.O. Box 224	Washington	MO	63090
109	The Presbyterian Church		636-239-3178	4834 South Point Rd.	Washington	MO	63090
110	Purcell-Ellis Tire & Rubber Co.	B.J. Hughes	636-239-2724	P.O. Box 100	Potosi	MO	63664
111	Quality Copy Service, Inc.	Darrell Glosemeyer	636-239-4177	101 West 5th St.	Washington	MO	63090
112	Michael E. Radetic, D.D.S.		636-239-5052	10 West 2nd St.	Washington	MO	63090
113	Radio-Comm Co.	Joyce Pollock	636-239-7192	3057 Hwy. A	Washington	MO	63090
114	Rainbow International Carpet Care	Brian Eckelkamp	636-239-6664	200 West 12th St, Ste. 120	Washington	MO	63090
116	Riechers Tire & Auto	Gary Riechers	636-239-3333	510 Madison Ave.	Washington	MO	63090
117	Riechers' Truck Body & Equipment Co., Inc.	Gil Mohesky	636-239-3700	P.O. Box 383	Washington	MO	63090
118	Coldwell Banker Premier Realty	Mark Thayer	636-239-0667	1351 S. Jefferson St., Ste. 100	Washington	MO	63090
119	Röbller Vineyard	Lois Mueller	573-237-3986	275 Robller Vineyard Rd.	New Haven	MO	63068
120	Roettering Heating and Cooling	Ty Roettering	636-239-0102	1650 E. 5th St.	Washington	MO	63090
122	DAC, Inc.	Tim Roewe	636-390-4410	P.O. Box 1369	Washington	MO	63090
123	Schaefer Door Company	Martin Schaefer	636-239-1144	1875 Hwy A	Washington	MO	63090
124	Schroeder Drug, Inc.	Judy Wildt	636-239-4707	201 Elm St.	Washington	MO	63090
125	Schweissguth Bros. Inc.	Bob Schweissguth	636-433-2256	P.O. Box 7	Dutzow	MO	63342
126	Septic Services	David C. Flagg, Jr.	636-583-5564 X	P.O. Box 632	Union	MO	63084
127	Shelter Insurance Co.	Dave Hackmann	636-239-3737	211 Jefferson St.	Washington	MO	63090
129	Sheltered Workshops, Inc.	Bob Koch	636-239-2744	1600 W. Main St.	Washington	MO	63090
130	Sieve Contractors, Inc.	Dan Forget	636-239-5685 X	6 Chamber Dr.	Washington	MO	63090
131	Parker Hannifin-Sporlan Division	Jim Eckelkamp	636-239-3732 X	206 Lange Dr.	Washington	MO	63090
132	United Mutual Insurance Company	Steve Underwood	636-239-6047	P. O. Box 231	Washington	MO	63090
133	Mercy Hospital - Washington	Administration Department	636-239-8260	901 East Fifth St.	Washington	MO	63090
134	St. Louis RCGA	Colin Stahlhut	314-231-5555	1 Metropolitan SQ., Ste. 1300	St. Louis	MO	63102
135	St. Peters United Church of Christ	Rev. Paul Koch	636-239-6176	P.O. Box 510	Washington	MO	63090
136	Matt Tobben State Farm Insurance	Matt Tobben	636-239-4746	1401 Jefferson St.	Washington	MO	63090
137	Steamboat Financial Services, Inc.	Mary Lynne Steffans	636-239-1486 X	416 Elm St.	Washington	MO	63090
138	Stork Fabricators, Inc.	Robert Stork	636-239-7424 X	P. O. Box 185	Washington	MO	63090
139	Leo Straatmann Farm Service, Inc.	Christopher Straatmann	636-433-2289	11310 State Hwy 47	Marthasville	MO	63357
140	Straatmann Toyota, Inc.	Bill Straatmann	636-239-4775	1498 High Street	Washington	MO	63090
141	TEMCO, INC.	Bob Engemann	636-433-2335	16950 Rinne Rd.	Marthasville	MO	63357
142	Mark M. Tobben, DDS		636-239-6611	P.O. Box 1398	Washington	MO	63090
143	Time to Travel	Andy Heitman	636-239-3040	910 W. 14th St. Ste.240	Washington	MO	63090
144	Tochtrop & Associates, P.C.	Kevin Tochtrop	636-239-6400 X	P.O. Box 1578	Washington	MO	63090
145	Town 'N Country Lanes	Lance Unnerstall	636-239-2000	603 Alberta Ln.	Washington	MO	63090
146	RTI Tradco, Inc.	George Schrecengost	636-239-7816	1701 W. Main St.	Washington	MO	63090
147	Advanced Sight Center	Holly Tinker	636-239-1650	1351 Jefferson St., Ste. 110	Washington	MO	63090
148	Tri-County Orthodontics Assoc., LTD.	Jacqueline M. Miller, DDSMS	636-239-4004	1015 G Washington Square	Washington	MO	63090
149	Tri-County Surgery Center	Ellen Kluesner	636-239-1766	1111 E. 6th St.	Washington	MO	63090
150	AMEREN Missouri - Union	Ken Schmidt	636-583-7150	500 E. Independence Dr.	Union	MO	63084
151	Unnerstall and Unnerstall, CPA	Tim Unnerstall	636-239-6439	18 W. 2nd St.	Washington	MO	63090
152	Unnerstall Oil Co.	Gary Unnerstall	636-239-2345	P.O. Box 243	Washington	MO	63090
153	Unnerstall Tire, Inc.	Tom Unnerstall	636-239-5494	1 East 5th St.	Washington	MO	63090
154	Vernaci Construction, Inc.	Joseph Vernaci	636-239-7642 X	2028 Phoenix Center Dr.	Washington	MO	63090
155	Daniel G. Walde, DDS		636-390-0005	1201 Jefferson St. Suite 220	Washington	MO	63090
156	Walde Orthodontic Associates, PC		636-239-5151	1507 Heritage Hills Dr.	Washington	MO	63090
157	Roger W. Walkenhorst, DDS		636-239-2510	2008 East 5th St.	Washington	MO	63090
158	Wal-Mart Superstore	Blaise Warhurst	636-239-1993	1701 A-Roy Dr.	Washington	MO	63090
159	Warco, Inc.	Dale Lohmeyer	636-433-2212	P.O. Box 48	Marthasville	MO	63357
160	City of Washington	Jim Briggs	636-390-1000	405 Jefferson St.	Washington	MO	63090
161	Washington Electric, Inc.	Tom Barbarick	636-239-3383	P.O. Box 351	Washington	MO	63090
162	Patients First Health Care, LLC	Joseph Gubbels	636-390-1400	901 Patients First Dr.	Washington	MO	63090
163	Washington Lions Club	Dennis Hemsath	636-239-9560	207 Jefferson St.	Washington	MO	63090
164	Washington Lumber Do-It Center	Terry Unnerstall	636-239-4703	P.O. Box 526	Washington	MO	63090
165	Washington Monument Co., Inc.	Roger Aholt	636-239-6444	630 Market St.	Washington	MO	63090
167	South Pointe, Assisted Living by Americare	Dawn Butler	636-239-0670	5125 Old Hwy 100	Washington	MO	63090
169	Water Works Antiques	Sandy Bolte	636-390-2344	#1 Elbert Dr	Washington	MO	63090
170	Weber Brothers Construction	Dean Weber	636-239-2398	5551 Weber Rd.	Washington	MO	63090
171	Wedding Creations, Inc.	Kathy Miller	636-239-2115	7 E. 5th St.	Washington	MO	63090
172	Whitworth Construction Co.	Allen R. Whitworth	636-239-3331	1009 Rose Ln.	Washington	MO	63090
173	Wiemann & Pues Insurance Agency	Rick Hopp	636-239-4741	P.O. Box 169	Washington	MO	63090
174	Wilson Motor Co.	Dennis E. Wilson	636-239-6781	679 International Ave.	Washington	MO	63090
175	Four Rivers Area Family YMCA	Debbie Toedebusch	636-239-5704	400 Grand Avenue	Washington	MO	63090
176	Zick, Voss & Politte, PC	Bob Zick	636-239-1616	P.O. Box 2114	Washington	MO	63090
177	American National Insurance	Larry Frick	636-239-6177	223 Elm St.	Washington	MO	63090
178	AAA World Wide Travel	Christie Anderson	636-239-6791	1053 Washington Square	Washington	MO	63090
179	AAIM Management Association	Margaret Kenyon	314-968-3600	1600 S. Brentwood Blvd. Ste. 400	St. Louis	MO	63127-1338
180	Washington Women's Healthcare	Gregory A. Potts, MD	636-239-1101	851 E. 5th St., Suite 328	Washington	MO	63090
181	Red's Plumbing	Ed Conway	636-239-2161	201 East 5th St.	Washington	MO	63090
182	Diana Holdinghausen Insurance Agency, Inc.	Diana Holdinghausen	636-239-9500	902 E. Sixth St., Ste. A	Washington	MO	63090
184	Lee M. Dardick		314-721-6564	200 S. Brentwood Blvd., 15-A	Clayton	MO	63105
185	Washington Chiropractic Clinic	Dr. Larry Gerstein	636-239-4454 X	819 West 5th St.	Washington	MO	63090
186	R.D. Laboratories, Inc.	Richard Ritz	636-390-2622 X	204 Lange Dr.	Washington	MO	63090
190	Kandlbinder Inc. / Zephyr Express	Randy Kandlbinder	636-239-4525	1403 S. Jefferson St.	Washington	MO	63090
191	Country Manor Decorating	Sharon Moses	636-239-1532	#1 W. 12th Street	Washington	MO	63090
192	Keeven Heating & Cooling	Lois Keeven	573-459-2135	4852 Kiel Lyon Rd	New Haven	MO	63068
193	Washington Historical Society, Inc.	Marc Houseman	636-239-0280	P.O. Box 146	Washington	MO	63090
194	Obermark Optometry, Inc.	Dr. Ed Obermark	636-239-7144	222 West Main St.	Washington	MO	63090
195	Mid-America Wireless	Cindy Swinney	636-583-2800	P.O. Box 105216	Jefferson City	MO	65110-5216
196	Augusta Winery	Tony Kooyumjian	636-228-4301	P.O. Box  8	Augusta	MO	63332
197	Imo's Pizza	Craig Mueller	636-390-4667	1104 Washington Square	Washington	MO	63090
198	Bennett Packaging, Inc.	Dallas Bennett	573-237-5619	374 Scheer Dr.	New Haven	MO	63068
203	Brune Jewelers, Inc.	Herb Brune	636-239-6229	832 Washington Corners	Washington	MO	63090
204	Willow Creek Antiques	Joyce Reynolds	636-583-5247	100 Willow Creek Rd.	Union	MO	63084
205	Ince Development LLC	James Ince	636-239-0627	P.O. Box 9	Washington	MO	63090
206	Montelle Winery	Tony Kooyumjian	636-228-4464	P.O. Box 147	Augusta	MO	63332
207	Regional Credit Services	Karen Skornia	636-390-0020	1201 S. Jefferson St., Ste. 150	Washington	MO	63090
208	Rothschild's Family Restaurant	Jason & Julie Witte	636-239-7112	3397 Hwy 185	Washington	MO	63090
209	Sahm Welding Inc	Mark Sahm	636-239-8966	6337 Bluff Rd.	Washington	MO	63090
210	The Homestead at Hickory View	Katie Geisert	636-239-1941	1481 Marbach Dr	Washington	MO	63090
211	Promotional Consultants	Vicki Licklider	636-584-7000	2085 Bieker Rd	Washington	MO	63090
212	Impact Directory Publishing Group	Marie Baker	636-207-8840	12977 N 40 Dr, Ste 211	Saint Louis	MO	63141
213	SCI Engineering, Inc.	Tony Kreutz	636-584-7991 X	47 St. Andrews Place	Union	MO	63084
214	M-K Distributing Company	Marjorie A. Sansone	636-390-4111	P.O. Box 2178	Washington	MO	63090
215	Fifth & Oak Autocrafts	Tom Alsop	636-239-5885	1808 East 5th Street	Washington	MO	63090
216	Spray Services, Inc.	Jim Bennight	636-239-0404	20 Chamber Dr.	Washington	MO	63090
217	American Family Insurance	Casey Zastrow	636-239-7823	806 Jefferson St.	Washington	MO	63090
218	Rotary Club of Washington, MO	Justin Sincox	636-239-6439	P.O. Box 85	Washington	MO	63090
219	Raymond L Ker, D.D.S.		636-239-7588	206 Oak St.	Washington	MO	63090
220	Animal Care Clinic	James Hale, D.V.M.	636-239-7370	1750 E. Fifth St.	Washington	MO	63090
221	Washington Super 8 Motel	Mary Wood	636-390-0088	2081 Eckelkamp  Court	Washington	MO	63090
222	Paint'n Place	Bob Meyers	636-239-2303	1160 West 5th St.	Washington	MO	63090
226	Hearth & Home, Inc.	Chris Robinson	636-390-4242	556 East 5th St	Washington	MO	63090
227	Straatmann Carpet Service, Inc	Ed Straatmann	636-742-3313	552 Villa West Dr, Ste. 100	Villa Ridge	MO	63089
228	Aldi, Inc.	Paul Piorkowski	636-278-4700	P.O. Box 8800	O'Fallon	MO	63366
230	Marthasville Chamber of Commerce	Rita Hoeslcher	636-433-5242	P.O. Box 95	Marthasville	MO	63357
231	Pin Oak Creek RV Park	Chris Paxton	636-451-5656	1302 Hwy AT	Villa Ridge	MO	63089
232	Pogue Sculpture Studio	Larry Pogue	636-239-0668	118 West Front St.	Washington	MO	63090
234	Animal Hospital of Washington, L.C.	Daniel Smith, D.V.M.	636-239-2745	211 W. Fifth St.	Washington	MO	63090
236	Enterprise Rent a Car	David Shanahan	636-390-0051	2004 Phoenix Center	Washington	MO	63090
237	Lewis & Associates, LTD.	Gene Lewis	636-583-8811	P. O. Box 396	Union	MO	63084
238	Express Employment Professionals	Mike King	636-584-0284	30 HI-Line Drive, Suite B	Union	MO	63084
241	George Bocklage		636-239-6048	110 E. Second St.	Washington	MO	63090
243	Pella Windows & Doors	Stephen Bowls	314-432-3555	#54 Weldon Parkway	Maryland Heights	MO	63043
244	Summit Distributing	John Hummel	314-874-0400	3201 Rider Trail South	St. Louis	MO	63045
245	A.R.T. Concrete Tool & Supply Co., Inc.	Brian Martin	636-584-0440	1743 Scherer Pkwy.	St. Charles	MO	63303
246	PNC Bank	B.J. Hillermann	636-239-3410 opt.4	801 Franklin Ave.	Washington	MO	63090
247	Mid-West Podiatry & Assoc., Inc.	Dr. John Visser	636-239-1633	205 Elm St.	Washington	MO	63090
248	Four Rivers Insurance Agency	Mark P. Michels	636-239-0020	1451 High St., Ste. 201	Washington	MO	63090
249	Aldo's Pizza	Cataldo Alu	636-390-2536	1205-B S. Jefferson	Washington	MO	63090
251	Missouri State Teachers Association	Michael Wood	636-239-0945	6433 Meadowlake Dr.	Washington	MO	63090
252	The Quality Coach!	Jeanne Gladden	636-239-0582	P. O. Box 1009	Washington	MO	63090
253	Teltron, Inc	Jo Ann Crane	636-390-9202 X	5475 Hwy 100, Ste . B	Washington	MO	63090
254	W & M Restaurants D/B/A Taco Bell	Mike Gomas	636-239-1817	405 W. Hwy. 50 - Ste. 700	Union	MO	63084
255	Dairy Queen	Michael Leeper	636-390-9797	920 Bieker Rd.	Washington	MO	63090
256	AMEREN Missouri - Labadie Power Plant	Ron Steffens	314-992-8207	#226 Power Plant Rd.	Labadie	MO	63055
257	Washington High School  A+ Schools	Judy Straatmann	636-231-2200	600 Blue Jay Dr.	Washington	MO	63090
258	Re/Max Gold First	John J. Fischer	626-239-4742	910 W. 14th St  Ste. 230	Washington	MO	63090
261	Washington Dermatology	Dr. Karen Eshraghi	636-239-8900	851 East 5th St, Ste. 124	Washington	MO	63090
262	Loaves & Fishes Bulk Foods	Robin Sincox	636-239-2373	1035 Washington Square	Washington	MO	63090
263	Kiwanis Club of Washington	Windy Sulltrop		1801 Bedford Center	Washington	MO	63090
264	G H Tool & Mold, Inc.	Patrick Dolan	636-390-2424 X145	28 Chamber Dr.	Washington	MO	63090
265	The Creek Grill & Sports Bar	Don Grahl	636-390-9393	2000 Phoenix Center	Washington	MO	63090
266	Lewis, Rice & Fingersh L.C.	Rick Wunderlich	314-444-7600	600 Washington Ave., Suite 2500	St. Louis	MO	63101
267	Grandveiw Health Care Center	Sheila Lawson	636-239-9190	201 Grand Avenue	Washington	MO	63090
268	Cedarcrest Manor	Dana Bailey	636-239-7848	324 W. Fifth St.	Washington	MO	63090
271	Legacy Embroidery, Inc.	David Kell	636-239-3733	6 Pauwels Dr	Washington	MO	63090
272	Bank of Franklin County	Robert Dobsch	636-239-6600	900 E. 8th St.	Washington	MO	63090
273	Steve Holzem		636-239-4326	1401 Rock Lane	Washington	MO	63090
274	Hanson Directory Service, Inc.	Matt Beaderstadt	800-622-0034	P.O. Box 786	Newton	IA	50208
275	Crider Health Center	Nicky Coleman	636-239-1717	416 Market St.	Washington	MO	63090
276	Washington Jaycees	Bryan Bogue	636-239-0990	P.O. Box 6	Washington	MO	63090
277	The Graphics Company	Steve Hoffmann	314-849-9890	11653 Gravois Rd., Ste. 100	St. Louis	MO	63126
279	Mid Missouri Fine Arts Society	Loretta Grinker	636-583-5979	1329 Clearview Road	Union	MO	63084
280	Citizens Bank	Donna Klott	636-390-9944	1451 High Street, Ste. 101	Washington	MO	63090
281	Willard Luecker		573-459-6722	4244 Orchard Rd	New Haven	MO	63068
282	Good News Voice 89.9 FM	Charles Sachse	636-239-0400	P.O. Box 187	Washington	MO	63090
283	U.S. Title Guaranty Co. of St. Charles	Marlin Heidmann	636-390-9700	1381 High St, Ste. 207	Washington	MO	63090
285	Franklin County Area United Way	Paula Obermark	636-239-1018	P.O. Box 3	Washington	MO	63090
286	Urban Accents	Gary Tobben	636-239-1887	1086 Washington Square	Washington	MO	63090
288	New Haven Care Center	Jane Rost	573-237-2103	9503 Hwy 100	New Haven	MO	63068
289	Oltmann Funeral Home	Keith Oltmann	636-239-9600	508 East 14th St.	Washington	MO	63090
290	Northington, Donald L.		636-239-6992	44 Berkshire Dr.	Washington	MO	63090
291	YHTI, Inc.	Nathan Walker	636-239-1066	214 Elm St., Ste. 101	Washington	MO	63090
292	Mercy Corporate Health	Lisa Parum	314-729-9909	9701 Landmark Pkwy, Ste 118	St. Louis	MO	63127
293	Hair Engineers West, Inc	Rhonda Kleindienst	636-390-2022	1107 Washington Square	Washington	MO	63090
295	Balducci Vineyards	Patsy Siener	636-482-8466	6601 Hwy 94 South	Augusta	MO	63332
296	N.B. West Contracting Company, Inc.	Jim Grutsch	573-468-4533	1035 North Service Rd. East	Sullivan	MO	63080
299	Lindsay Window	Geoff J. Roise	636-583-0850	11 Cedar Court	Union	MO	63084
302	Rawlings Sporting Goods Co., Inc.	Mike Campbell	636-390-0074 X	200 Westlink Dr.	Washington	MO	63090
303	Hometown Advertising	Hank Anderson	636-390-4310	45 Durham Dr	Washington	MO	63090
304	K. J. Unnerstall Construction Co.	Kurt Unnerstall	636-239-2028	4923 South Point Rd	Washington	MO	63090
305	305 Liquor	Bill Branson	636-239-7321	305 E. Eighth St.	Washington	MO	63090
306	Westlake Ace Hardware	Steve Jones	636-239-6761	810 Washington Corners	Washington	MO	63090
307	Wolf Hollow Golf Club		636-390-8100 X	4504 Hwy 100	Labadie	MO	63055
308	Ziglin Signs, Inc.	Ben Ziglin	636-390-8455 X	540 Vossbrink Dr.	Washington	MO	63090
310	E-Z Care Systems, Inc.	Brett Poertner	636-239-3899	1900 Heritage Hills Drive	Washington	MO	63090
311	Heritage Propane	Bill Cantrell	636-390-3232	P. O. Box 1278	Washington	MO	63090
313	Advertising Unlimited	Brian VanBooven	636-390-0202	P.O. Box 1002	Washington	MO	63090
314	Dan Yoest Insurance Co., Inc.	Dan Yoest	636-239-1130	401 Elm St.	Washington	MO	63090
315	Fischer Food Shop	Matthew McDonald	636-239-5050	307 W. 5th Street	Washington	MO	63090
316	Schulte's Bakery, Inc.		636-239-2300	1100 West 5th St.	Washington	MO	63090
318	Fred Weber Inc. / Material Services	Roger Gagliano	314-344-0070	2320 Creve Coeur Mill Rd	Maryland Heights	MO	63043
319	Ponderosa Steak house, Inc.	Joe Maciocia	636-390-2700	95 Washington Heights Dr.	Washington	MO	63090
